
Per-aspect summary (train split)
Aspect                        | Present | Known | Pos | Neg | PosRate | PosWeight(neg/pos)
social security               |       2 |     2 |   2 |   0 | 1.000   | 0.000
governor                      |       0 |     0 |   0 |   0 | nan     | nan
desantis                      |       9 |     9 |   0 |   9 | 0.000   | nan
liberty                       |       0 |     0 |   0 |   0 | nan     | nan
ron desantis                  |       1 |     1 |   0 |   1 | 0.000   | nan
magas                         |       1 |     1 |   0 |   1 | 0.000   | nan
mass shooting                 |       0 |     0 |   0 |   0 | nan     | nan
gun violence                  |       1 |     1 |   0 |   1 | 0.000   | nan
propaganda                    |       1 |     1 |   0 |   1 | 0.000   | nan
kid                           |       0 |     0 |   0 |   0 | nan     | nan
peace                         |       1 |     1 |   1 |   0 | 1.000   | 0.000
proof                         |       0 |     0 |   0 |   0 | nan     | nan
white media                   |       0 |     0 |   0 |   0 | nan     | nan
facts                         |       0 |     0 |   0 |   0 | nan     | nan
white supremacist beliefs     |       0 |     0 |   0 |   0 | nan     | nan
evidence                      |       0 |     0 |   0 |   0 | nan     | nan
texas mall shooter            |       0 |     0 |   0 |   0 | nan     | nan
republican party              |       1 |     1 |   0 |   1 | 0.000   | nan
churches                      |       0 |     0 |   0 |   0 | nan     | nan
lives                         |       0 |     0 |   0 |   0 | nan     | nan
george floyd                  |       2 |     2 |   2 |   0 | 1.000   | 0.000
black lives                   |       1 |     1 |   1 |   0 | 1.000   | 0.000
racial justice                |       0 |     0 |   0 |   0 | nan     | nan
black community               |       0 |     0 |   0 |   0 | nan     | nan
deaths                        |       0 |     0 |   0 |   0 | nan     | nan
equality                      |       0 |     0 |   0 |   0 | nan     | nan
floyd                         |       0 |     0 |   0 |   0 | nan     | nan
george floyds                 |       0 |     0 |   0 |   0 | nan     | nan
michael brown                 |       0 |     0 |   0 |   0 | nan     | nan
protests                      |       2 |     2 |   0 |   2 | 0.000   | nan
black liberation organization |       0 |     0 |   0 |   0 | nan     | nan
black families                |       0 |     0 |   0 |   0 | nan     | nan
gop                           |      11 |    11 |   0 |  11 | 0.000   | nan
medicare                      |       1 |     1 |   1 |   0 | 1.000   | 0.000
healthcare                    |       0 |     0 |   0 |   0 | nan     | nan
medicaid                      |       0 |     0 |   0 |   0 | nan     | nan
maga gop                      |       1 |     1 |   0 |   1 | 0.000   | nan
house republicans             |       1 |     1 |   0 |   1 | 0.000   | nan
antiblack racism              |       0 |     0 |   0 |   0 | nan     | nan
white nationalists            |       1 |     1 |   0 |   1 | 0.000   | nan
freedom                       |       1 |     1 |   1 |   0 | 1.000   | 0.000
christianity                  |       2 |     2 |   0 |   2 | 0.000   | nan
civil rights                  |       0 |     0 |   0 |   0 | nan     | nan
kevin mccarthy                |       1 |     1 |   0 |   1 | 0.000   | nan
mccarthy                      |       1 |     1 |   0 |   1 | 0.000   | nan
voters                        |       1 |     1 |   1 |   0 | 1.000   | 0.000
donald trump                  |       2 |     2 |   0 |   2 | 0.000   | nan
donald                        |       2 |     2 |   0 |   2 | 0.000   | nan
govt                          |       0 |     0 |   0 |   0 | nan     | nan
trumps                        |       0 |     0 |   0 |   0 | nan     | nan
tim scott                     |       2 |     2 |   0 |   2 | 0.000   | nan
baby                          |       0 |     0 |   0 |   0 | nan     | nan
life                          |       0 |     0 |   0 |   0 | nan     | nan
gops                          |       0 |     0 |   0 |   0 | nan     | nan
racial slurs                  |       0 |     0 |   0 |   0 | nan     | nan
misogyny                      |       2 |     2 |   0 |   2 | 0.000   | nan
vote                          |       1 |     1 |   0 |   1 | 0.000   | nan
tucker                        |       0 |     0 |   0 |   0 | nan     | nan
tucker carlson                |       0 |     0 |   0 |   0 | nan     | nan
violent mob                   |       0 |     0 |   0 |   0 | nan     | nan
blm protester                 |       0 |     0 |   0 |   0 | nan     | nan
daniel perry                  |       0 |     0 |   0 |   0 | nan     | nan
march                         |       0 |     0 |   0 |   0 | nan     | nan
abbott                        |       0 |     0 |   0 |   0 | nan     | nan
greg abbott                   |       0 |     0 |   0 |   0 | nan     | nan
black children                |       0 |     0 |   0 |   0 | nan     | nan
white mob                     |       0 |     0 |   0 |   0 | nan     | nan
black lives matter            |       0 |     0 |   0 |   0 | nan     | nan
judge                         |       0 |     0 |   0 |   0 | nan     | nan
sexism                        |       0 |     0 |   0 |   0 | nan     | nan

Totals:
  total samples: 280
  total known labels (all aspects): 609
  total positives: 112
  total negatives: 497

Least-labeled aspects:
  shooting -> known=1, present=1
  border -> known=1, present=1
  african americans -> known=1, present=1
  democrat party -> known=1, present=1
  whites -> known=1, present=1
  black vote -> known=1, present=1
  domestic terrorist -> known=1, present=1
  white americans -> known=1, present=1
  christians -> known=1, present=1
  border crisis -> known=1, present=1

Most-labeled aspects:
  racist -> known=65, present=65
  maga -> known=29, present=29
  trump -> known=26, present=26
  violence -> known=26, present=26
  white supremacist -> known=23, present=23
  christian -> known=20, present=20
  killing -> known=19, present=19
  blm -> known=18, present=18
  crime -> known=17, present=17
  democrats -> known=17, present=17
